tweet_id,text,gold_intent,predicted_intent,intent_correct,gold_escalate,predicted_escalate,escalation_correct,retrieved_customer,retrieved_reply,retrieval_similarity,final_response
2902484,@AmazonHelp what do I need to do to disable 2-step verification on my account which i am locked out of? I've called customer support several times over the last couple months and have initiated the 2-step verification account recovery. Nothing else has been done to resolve this.,Account & Security,Account & Security,True,YES,YES,True,,,,I'm sorry you're experiencing this. I'd recommend contacting Amazon customer support so a specialist can look into this for you.
451897,"@115830 outraged at Amazon taking £189 out of my account because a seller told them my order had been despatched, and they knew full well the goods weren't even in stock. Do your checks in future, I'm out of pocket and a child may not get her Christmas present 😠",Payment & Amazon Pay,Account & Security,False,NO,YES,False,,,,I'm sorry you're experiencing this. I'd recommend contacting Amazon customer support so a specialist can look into this for you.
2862071,@AmazonHelp would like to know where my parcel is ! After telling me it would be delivered before 9pm then stating it would be delivered tomorrow you apparently delivered at 10.11pm and so where it is please !! https://t.co/gtw1iC0voR,Order & Delivery,Order & Delivery,True,NO,NO,True,@AmazonHelp That it would be delivered tomorrow.  And it wasn’t.,@388537 What is the tracking information showing on this order? ^CR,0.39379981201212,@388537 What is the tracking information showing on this order? ^CR
1724783,@115830 you've sent me a battery charger without the batteries it was mean to have but I don't know how to contact you to address this?,Product Problems,Payment & Amazon Pay,False,YES,YES,True,,,,I'm sorry you're experiencing this. I'd recommend contacting Amazon customer support so a specialist can look into this for you.
2266704,Got this offer on  My Vodafone app from @118343 to subscribe 2 prime services from   @AmazonHelp install  @116618 app to get Rs.250 Cashback on Amazon. It's 2 months now bt no Cashback. Vodafone guys says there was no such offer ever nd these screenshots r photoshopped https://t.co/XBhwhLkTI8,Payment & Amazon Pay,Payment & Amazon Pay,True,NO,NO,True,@115850 any cashback offer on iphone x?,@159106 We don't have any announcement for offers on this yet. Kindly keep checking our website for future updates on the same. ^AB,0.3611840248921391,@159106 We don't have any announcement for offers on this yet. Kindly keep checking our website for future updates on the same. ^AB
2551052,"@AmazonHelp Received damaged LP, wish to exchange for another copy - but website will only allow me to exchange for ANOTHER item? How does that work? I wasnt to receive the item I ordered in new condition!",App / Device / Technical,Product Problems,False,NO,YES,False,,,,I'm sorry you're experiencing this. I'd recommend contacting Amazon customer support so a specialist can look into this for you.
1032715,@115850 got the wrong item after 10 days of wait. Now you tell me you'll only ship the right items after u've picked up the wrong one.,Order & Delivery,Product Problems,False,NO,NO,True,@AmazonHelp Sent the wrong item,@172342 I'm so sorry for the trouble! Was the item bought from us or from one of our sellers? https://t.co/Y5jpI9gRhE ^MH,0.35486261790255935,@172342 I'm so sorry for the trouble! Was the item bought from us or from one of our sellers? https://t.co/Y5jpI9gRhE ^MH
2553952,@AmazonHelp No place was set as I have been in all day. I knew it was arriving. I have just gone to the door and it was left on my mat. Not Happy!,Order & Delivery,Order & Delivery,True,NO,NO,True,@AmazonHelp No - it was all there. I have no safe places selected and it was literally left on my doorstep. He put it outside the door and got back in his car..,"@257629 Understandable, and thank you for that information! We'd like to look into this further for you. Reach out to us here https://t.co/JzP7hlA23B via chat or phone.
^AV",0.3699928503597837,"@257629 Understandable, and thank you for that information! We'd like to look into this further for you. Reach out to us here https://t.co/JzP7hlA23B via chat or phone.
^AV"
1100419,"@115850 @115850  very disappointed with my recent purchase
damaged product
no resolution provided by global seller
wasted rs.1569
hate it
pls help
pls REFUND ASAP
A-Z GUARANTEE",Returns & Refunds,Product Problems,False,YES,NO,False,"@AmazonHelp no resolution provided by seller
pls look into the issue yourself
and provide refund
pls",@665348 Apologies for the trouble. May I know if you've reported this to our support team through the link provided earlier? ^EM,0.3764325808624697,@665348 Apologies for the trouble. May I know if you've reported this to our support team through the link provided earlier? ^EM
671655,@AmazonHelp I don't have an Amazon account with that email address. But it is an address with 2 step verification that has not been hacked.  Why would someone be able to set up an Amazon account with an email account that has not been verified thru Amazon?  Sounds like Amazon security prob.,Account & Security,Account & Security,True,YES,YES,True,,,,I'm sorry you're experiencing this. I'd recommend contacting Amazon customer support so a specialist can look into this for you.
2492207,8 days since I placed an order &amp; it’s still not went out. All items were listed as in stock. I’m about to cancel the order &amp; cancel my @AmazonHelp account &amp; start shopping elsewhere. This is absolutely ridiculous &amp; I know it’s being done on purpose because I’m not a Prime member!,Order & Delivery,Account & Security,False,NO,NO,True,&amp;&amp; it's still not here 🙂🙂 @115821 u suck 🖕🏼 https://t.co/X0V9qMrXjH,"@223418 Have we missed the delivery date on an order? We're here to help! Please let us know the latest tracking and shipper information, found here: https://t.co/5D4Ags1MyD  ^SE",0.26337505942008643,"@223418 Have we missed the delivery date on an order? We're here to help! Please let us know the latest tracking and shipper information, found here: https://t.co/5D4Ags1MyD  ^SE"
1760492,Amazon customer Service is awful! $ a defective paper shredder - threw out box- can’t get help - no humans to speak to. @AmazonHelp @115821,Order & Delivery,Account & Security,False,YES,NO,False,@115821 customer service is incredible,"@772490 I'm glad we could help, Coco! We're always available if you need us! ^SE",0.3579014231158965,"@772490 I'm glad we could help, Coco! We're always available if you need us! ^SE"
2813542,"OK @115821 what's up with your delivery? Three times in the last month you ""guaranteed delivery by [date]"" yet failed to deliver by that date. Never missed a delivery date before now. What's changed?",Order & Delivery,Order & Delivery,True,YES,NO,False,What's up with @115821 #AmazonPrime now? The guaranteed delivery date means nothing anymore 😒.,@602174 Have we missed the scheduled delivery date with a recent order of yours? What's the current status: https://t.co/Y5jpI9gRhE? ^WM,0.37333341584726853,@602174 Have we missed the scheduled delivery date with a recent order of yours? What's the current status: https://t.co/Y5jpI9gRhE? ^WM
2667934,@115850 I am not able to contact to your customer service ..I have message from Amazon that 5000 rs has been credited to your amazon pay balance but still my account shows zero amazon pay balance ..Plz help me out,Returns & Refunds,Account & Security,False,YES,NO,False,"@115850 even after having Amazon pay balance in my account i am not able to pay through it,help me out","@492255 That's odd, what is the error you are getting while using the pay balance? ^MJ",0.5190003334894456,"@492255 That's odd, what is the error you are getting while using the pay balance? ^MJ"
1254567,Bonjour @120533 pourquoi payer l’option Prime et demander à se faire livrer en soirée si c’est pour être livré 2 jours plus tard ? 🤔🤔,Order & Delivery,Order & Delivery,True,NO,NO,True,"@120533 ça craint de+en+, si c'est pour attendre 3 semaine pour être livré je vais sur wish ou ali express au moins là je c pourquoi j'attends 3semaine.😡","@667815 Bonsoir Michel, s'agit-il d'un article expédié par Amazon ou bien par un vendeur tiers je vous prie ? ^MA",0.4305934211421613,"@667815 Bonsoir Michel, s'agit-il d'un article expédié par Amazon ou bien par un vendeur tiers je vous prie ? ^MA"
2945526,"@AmazonHelp  why is it such a nightmare finding someone to help with amazon? Have followed all instructions to delete items off kindle and ""permanently delete button is greyed out"". #humanplease .thanks",Order & Delivery,Account & Security,False,YES,NO,False,@AmazonHelp Nearly the delete permanently button is still greyed out.,"@672308 Hi Tammi, please contact us so we can check this for you.  https://t.co/JzP7hlA23B ^KK",0.33887260090413157,"@672308 Hi Tammi, please contact us so we can check this for you.  https://t.co/JzP7hlA23B ^KK"
2636906,@116618 app is really terrible in coming back from background,App / Device / Technical,App / Device / Technical,True,NO,NO,True,@205553 @363097 Thanks again for a terrible stream of this game.  Your @116439 app is terrible.,@712602 Oh no! Have you tried restarting the Fire TV? Also deleting and redownloading the app usually helps. ^LH,0.3436202033429727,@712602 Oh no! Have you tried restarting the Fire TV? Also deleting and redownloading the app usually helps. ^LH
2473370,@AmazonHelp  hey amazon i despratly need your help i cant get on to my account as its asking for a verification code but i no longer have that number this has been a ongoing issue for 3 weeks now plz help ive waisted 3 weeks of paying prime,Account & Security,Account & Security,True,YES,YES,True,,,,I'm sorry you're experiencing this. I'd recommend contacting Amazon customer support so a specialist can look into this for you.
2269130,@AmazonHelp Other than the dispatch confirmation and delivery which had mysteriously changed - no,Order & Delivery,Order & Delivery,True,NO,NO,True,@AmazonHelp Nothing other than the order confirmation. Do you have a default time zone possibly?,@686459 You will receive an e-mail to confirm when the item is available in your library. Please check your inbox periodically. ^SH,0.4014050896336152,@686459 You will receive an e-mail to confirm when the item is available in your library. Please check your inbox periodically. ^SH
833654,"@115850 I just bought goods and one is damaged. Calling their call centre number but am not being received...
Extremely frustrating",Product Problems,Product Problems,True,YES,NO,False,@115821 I received my order today and one of the books is damaged. https://t.co/r2nUgbvC48,@409958 I'm sorry your book arrived this way! You'll be able to find return/replacement options here: https://t.co/fufe9cBiNR ^VS,0.2836610573559516,@409958 I'm sorry your book arrived this way! You'll be able to find return/replacement options here: https://t.co/fufe9cBiNR ^VS
86259,"@115821 If I was desperate enough, in theory, I could fake my account location to US, but then, incidentally, that process is broken and throws an error.",Account & Security,Account & Security,True,NO,NO,True,@AmazonHelp Then unblock my account,@162488 Please revert to the mail sent to your registered email address for further assistance. ^AU,0.31646505514691187,@162488 Please revert to the mail sent to your registered email address for further assistance. ^AU
2212266,"@115850 My order ID is 
406-7431393-6585960 tried to cancel this order on 11th Oct.  Neither got a refund nor any updates regarding the status",Returns & Refunds,Order & Delivery,False,YES,NO,False,@AmazonHelp Please cancel this order,"@298989 I get your disappointment, Shailesh. Request you to wait as our team is working on the issue. ^NK",0.37553035699109727,"@298989 I get your disappointment, Shailesh. Request you to wait as our team is working on the issue. ^NK"
378507,@AmazonHelp It was a kindle book I accidentally purchased with 1-click.,App / Device / Technical,Order & Delivery,False,NO,NO,True,@AmazonHelp I’ve accidentally purchased a kindle book - how do I return this??,@709651 We'll be happy to help with this. Please reach out to us here: https://t.co/JzP7hlA23B so we may further assist. ^RO,0.5284797904544999,@709651 We'll be happy to help with this. Please reach out to us here: https://t.co/JzP7hlA23B so we may further assist. ^RO
764782,@AmazonHelp got my sister a gift and it's the wrong item I order now what,Order & Delivery,Product Problems,False,NO,NO,True,@AmazonHelp Sent the wrong item,@172342 I'm so sorry for the trouble! Was the item bought from us or from one of our sellers? https://t.co/Y5jpI9gRhE ^MH,0.3931361902797468,@172342 I'm so sorry for the trouble! Was the item bought from us or from one of our sellers? https://t.co/Y5jpI9gRhE ^MH
2671141,"@752196 Bhai @AmazonHelp @117795 @115821 is charging money for no reason, though I hv the prime membership valid for a year",Payment & Amazon Pay,Payment & Amazon Pay,True,YES,NO,False,"@AmazonHelp I have ordered echo dot, said prime membership is free for a year, when the prime membership wil b activate? Aftr delivry?",@359076 Prime Membership will be active from the date of the dispatch of the order. Hope this helps. ^CB,0.3909647122536041,@359076 Prime Membership will be active from the date of the dispatch of the order. Hope this helps. ^CB
64070,@AmazonHelp It’s a looooong story. It just feels like Amazon could be doing simpler things to help Prime members but instead offers things that just add to the frustration. My specific issue tonight won’t fit in 280 characters. If you want to DM or call me I’d love to discuss.,Prime Membership & Benefits,Returns & Refunds,False,NO,NO,True,@AmazonHelp If you want to call me DM me,"@170971 Hey Jennifer, were you given a reason for the order cancellation? ^AS",0.31429423720384747,"@170971 Hey Jennifer, were you given a reason for the order cancellation? ^AS"
666181,E ai @117086 esse ano vai ter promoção para os Kindle na Black Friday ? Tô louco pra comprar meu paperwhite...,Product Problems,App / Device / Technical,False,NO,NO,True,@AmazonHelp vocês vão ter promoção na Black Friday?,@144298 Vamos ter Black Friday :) no dia 24 de novembro 😁 ^VL,0.591003170178924,@144298 Vamos ter Black Friday :) no dia 24 de novembro 😁 ^VL
268138,@116618 please figure it out. I’m not paying for prime to have problems occur at the worst possible time... The @174356 are on!,Prime Membership & Benefits,Payment & Amazon Pay,False,NO,NO,True,.@AmazonHelp not happy 😡 Paying for prime too. https://t.co/Zt5OrqLXkB,@787131 Oh no! Sorry to hear. Have you received an email from us advising about the reason for delay?^ES,0.3065151037065355,@787131 Oh no! Sorry to hear. Have you received an email from us advising about the reason for delay?^ES
2431091,"@AmazonHelp Und Episode 14 ""Auf den Hund gekommen"" handelt von den neuen Nachbarn, die einen Hund haben, der ständig bellt.",Prime Video / Streaming,Prime Video / Streaming,True,NO,NO,True,"@AmazonHelp Ja, anscheinend wollte den keiner. ;-) Die Lasche auf der einen Seite lässt sich komplett herausziehen, auf der anderen Seite fehlt sie.",@728161 Danke für die Rückmeldung! Gerne kannst du direkt hier Feedback zur Verpackung abgeben: https://t.co/dLhbMTHfvK Lieber Gruß ^SI,0.48999635160124105,@728161 Danke für die Rückmeldung! Gerne kannst du direkt hier Feedback zur Verpackung abgeben: https://t.co/dLhbMTHfvK Lieber Gruß ^SI
1404752,@AmazonHelp Just spoke someone. Getting a refund in the form of an Amazon voucher. Told me my order has been lost? If I re order this item and the other one turns up will I be charged twice? I feel like I've been majorly let down by Amazon here,Returns & Refunds,Returns & Refunds,True,YES,NO,False,@AmazonHelp Feel really let down,"@812835 Apologies for the disappointment, Chris! Could you please confirm the carrier for this late shipment? You can find that information here: https://t.co/Y5jpI9gRhE. Please keep us posted! ^SD",0.26420247937359076,"@812835 Apologies for the disappointment, Chris! Could you please confirm the carrier for this late shipment? You can find that information here: https://t.co/Y5jpI9gRhE. Please keep us posted! ^SD"
