evaluation_id,tweet_id,text,gold_intent,gold_escalate,predicted_intent,predicted_escalate,retrieved_customer,retrieved_reply,final_response,llm_relevance,llm_grounding,llm_helpfulness,llm_tone,llm_hallucination,llm_overall,llm_reason,human_relevance,human_grounding,human_helpfulness,human_tone,human_hallucination,human_overall,human_reason
11,86259,"@115821 If I was desperate enough, in theory, I could fake my account location to US, but then, incidentally, that process is broken and throws an error.",Account & Security,NO,Account & Security,NO,@AmazonHelp Then unblock my account,@162488 Please revert to the mail sent to your registered email address for further assistance. ^AU,@162488 Please revert to the mail sent to your registered email address for further assistance. ^AU,3,3,3,4,5,3,"The response provides a support direction, but it is only partly specific to the broken account-location process.",3,2,2,3,4,3,"The response provides a support direction, but it is only partly specific to the broken account-location process."
12,378507,@AmazonHelp It was a kindle book I accidentally purchased with 1-click.,App / Device / Technical,NO,Order & Delivery,NO,@AmazonHelp I’ve accidentally purchased a kindle book - how do I return this??,@709651 We'll be happy to help with this. Please reach out to us here: https://t.co/JzP7hlA23B so we may further assist. ^RO,@709651 We'll be happy to help with this. Please reach out to us here: https://t.co/JzP7hlA23B so we may further assist. ^RO,2,3,2,5,5,2,The response offers generic assistance but does not specifically address the accidental Kindle purchase or 1-click issue.,3,3,3,4,3,2,The response offers generic assistance but does not specifically address the accidental Kindle purchase or 1-click issue.
13,550615,@AmazonHelp I need to delete and repost this tweet. It’s not Prime. Ships from and sold by VESNIBA.,Order & Delivery,NO,Prime Membership & Benefits,NO,"@AmazonHelp It says ""ships from and sold by https://t.co/s2iL5Cpv0X""",@198136 Thanks for confirming! We'd like to take a closer look to see what's going on here: https://t.co/hApLpMlfHN ^HC,@198136 Thanks for confirming! We'd like to take a closer look to see what's going on here: https://t.co/hApLpMlfHN ^HC,2,3,2,5,5,2,The reply is generic and does not address the customer's clarification that the item is not Prime.,2,1,3,2,5,2,The reply is generic and does not address the customer's clarification that the item is not Prime.
14,451897,"@115830 outraged at Amazon taking £189 out of my account because a seller told them my order had been despatched, and they knew full well the goods weren't even in stock. Do your checks in future, I'm out of pocket and a child may not get her Christmas present 😠",Payment & Amazon Pay,NO,Account & Security,YES,,,I'm sorry you're experiencing this. I'd recommend contacting Amazon customer support so a specialist can look into this for you.,1,2,1,5,5,1,"The response escalates a payment/order dispute but does not address the charge, stock issue, or customer's specific question.",1,3,2,3,4,1,"The response escalates a payment/order dispute but does not address the charge, stock issue, or customer's specific question."
15,64070,@AmazonHelp It’s a looooong story. It just feels like Amazon could be doing simpler things to help Prime members but instead offers things that just add to the frustration. My specific issue tonight won’t fit in 280 characters. If you want to DM or call me I’d love to discuss.,Prime Membership & Benefits,NO,Returns & Refunds,NO,@AmazonHelp If you want to call me DM me,"@170971 Hey Jennifer, were you given a reason for the order cancellation? ^AS","@170971 Hey Jennifer, were you given a reason for the order cancellation? ^AS",1,2,1,4,5,1,The response asks about an order cancellation reason even though the customer is discussing broader Prime-member frustration.,3,2,3,1,4,2,The response asks about an order cancellation reason even though the customer is discussing broader Prime-member frustration.
16,946418,@AmazonHelp Even those few titles also not visible. Should I discontinue using Amazon prime ?,Prime Video / Streaming,NO,Order & Delivery,NO,@AmazonHelp I am using amazon India,@727761 Please reach out to our support team here: https://t.co/TdDksLo6Mf and we'll be glad to assist you. ^MK,@727761 Please reach out to our support team here: https://t.co/TdDksLo6Mf and we'll be glad to assist you. ^MK,2,3,2,5,5,2,The response gives a support link but does not address the missing titles or the Prime Video concern specifically.,4,5,4,2,3,1,The response gives a support link but does not address the missing titles or the Prime Video concern specifically.
17,666181,E ai @117086 esse ano vai ter promoção para os Kindle na Black Friday ? Tô louco pra comprar meu paperwhite...,Product Problems,NO,App / Device / Technical,NO,@AmazonHelp vocês vão ter promoção na Black Friday?,@144298 Vamos ter Black Friday :) no dia 24 de novembro 😁 ^VL,@144298 Vamos ter Black Friday :) no dia 24 de novembro 😁 ^VL,4,4,4,5,5,4,The response directly answers the Black Friday question with a concrete date and remains consistent with the historical evidence.,5,3,3,3,4,4,The response directly answers the Black Friday question with a concrete date and remains consistent with the historical evidence.
18,1718704,@AmazonHelp 408-7381410-8288305 refund not yet given amazon must pay panality as 5 days passed for amount ₹699,Returns & Refunds,NO,Returns & Refunds,YES,,,I'm sorry you're experiencing this. I'd recommend contacting Amazon customer support so a specialist can look into this for you.,5,5,4,5,5,5,The escalation response is appropriate for a delayed refund and avoids making unsupported promises about payment or penalties.,5,2,2,2,4,5,The escalation response is appropriate for a delayed refund and avoids making unsupported promises about payment or penalties.
19,1229659,@119625 When you are going to add Malayalam movies ??,Prime Video / Streaming,NO,Prime Video / Streaming,NO,@119625 @12154 When you are going to release trailer ?,@170976 We will continue to add new content. Stay tuned to amazon video for further updates. ^AU,@170976 We will continue to add new content. Stay tuned to amazon video for further updates. ^AU,4,4,4,5,5,4,"The response directly addresses future Malayalam content by explaining that new content will continue to be added, without inventing a specific release date.",4,3,3,1,3,4,"The response directly addresses future Malayalam content by explaining that new content will continue to be added, without inventing a specific release date."
20,2965294,Um where’s episode 9 of #Lucifer @116618,Prime Video / Streaming,NO,Prime Video / Streaming,NO,@119625 When new episode of @41845 gets uploaded ??,"@294487 where we highlight the latest movies and TV shows we have available, Stay tuned. ^AK (2/2) @294487 We will continue to add new content. Keeping checking https://t.co/FYM9PIZOR8 ^AK (1/2)","@294487 where we highlight the latest movies and TV shows we have available, Stay tuned. ^AK (2/2) @294487 We will continue to add new content. Keeping checking https://t.co/FYM9PIZOR8 ^AK (1/2)",3,4,3,5,5,3,The response is relevant to missing streaming content but does not specifically address the missing episode 9.,4,3,2,2,4,3,The response is relevant to missing streaming content but does not specifically address the missing episode 9.
