tweet_id,text,intent,escalate,escalation_reason,gold_intent,gold_escalate,gold_reason
616971,@115833 I can’t connect my Amazon Fire Tv box to my echo plus. Alexa app does not give me music books and video menu option just music and books. https://t.co/T0Vf0FZAzX,App / Device / Technical,NO,,App / Device / Technical,NO,
1032715,@115850 got the wrong item after 10 days of wait. Now you tell me you'll only ship the right items after u've picked up the wrong one.,Product Problems,NO,,Order & Delivery,NO,
739674,@115850 I cannot login into my account. Help.,Account & Security,NO,,Account & Security,NO,
167863,Aboustly appalling customer service from @115830 not impressed,App / Device / Technical,NO,,App / Device / Technical,NO,
1574296,"@115821, searching on a Kindle and then tapping the Amazon tab to get shopping links fails as the links open the store app on its home page.",App / Device / Technical,NO,,Account & Security,NO,
2393485,@AmazonHelp Bonjour plusieurs commandes sont retardés.. Livraison prime inutile désormais ?,Prime Membership & Benefits,NO,,Order & Delivery,NO,
1119600,"@AmazonHelp  pl help, ur Cloudtail retail is partnering with fraud co. #jiolyf in selling FAKE iphone through. Pl help https://t.co/WhFO6TmVed",Product Problems,YES,Potential security or unauthorized activity,Product Problems,YES,fake product allegation
2492207,8 days since I placed an order &amp; it’s still not went out. All items were listed as in stock. I’m about to cancel the order &amp; cancel my @AmazonHelp account &amp; start shopping elsewhere. This is absolutely ridiculous &amp; I know it’s being done on purpose because I’m not a Prime member!,Account & Security,YES,Repeated or unresolved support attempt,Order & Delivery,NO,
2576977,"If @115821 don’t send the rest of her stuff today im canceling my prime membership, I’m tired of fighting wit them 😡😡😡",Prime Membership & Benefits,NO,,Order & Delivery,NO,
238125,@AmazonHelp Subtitles are missing for This is Us,Prime Video / Streaming,NO,,Prime Video / Streaming,NO,
393577,#AmazonIndia @115850 i where is my package??? #lousycostumerservice https://t.co/a3SgpQFEws,Order & Delivery,NO,,Order & Delivery,NO,
2824028,"@AmazonHelp I already filled the form and i want my money refunded either today or tomorrow. I don't care how you will do that. Otherwise i will file a complaint against you that you for doing fraud with customers.
@115850 @115821 https://t.co/moviRCARcy",Returns & Refunds,YES,Potential security or unauthorized activity,Returns & Refunds,YES,"requesting human assistance ,unresolved or repeated issue"
395431,@AmazonHelp is there a problem setting up an Amazon Prime account tonight?,Account & Security,NO,,Account & Security,NO,
2266704,Got this offer on  My Vodafone app from @118343 to subscribe 2 prime services from   @AmazonHelp install  @116618 app to get Rs.250 Cashback on Amazon. It's 2 months now bt no Cashback. Vodafone guys says there was no such offer ever nd these screenshots r photoshopped https://t.co/XBhwhLkTI8,Prime Membership & Benefits,NO,,Payment & Amazon Pay,NO,
2558469,@AmazonHelp money for prime taken out my card but I don't have prime,Prime Membership & Benefits,NO,,Payment & Amazon Pay,YES,unauthorized money deduction
1485742,I ordered 20 amazon echos and @115821 thought it was fraud canceled the order and blocked my dads account. Sorry Dad 😬,Account & Security,YES,Potential security or unauthorized activity,Account & Security,NO,
2678805,@115830 Order Summary #204-2926057-6036329 - Need urgent answer as product still not dispatched ! Product was ordered as under PRIME memb,Prime Membership & Benefits,YES,Repeated or unresolved support attempt,Prime Membership & Benefits,YES,delayed delivery for prime member
1742625,"@AmazonHelp Hi Amazon - I returned my item (a box) for an exchange, but left another item inside which was a separate order. What can I do?",Returns & Refunds,NO,,Product Problems,YES,product change while exchange
631620,@AmazonHelp I managed to get hold of someone via chat. They told me that both £79’s had been refunded already. And that my Student Prime was from 23/11. But just received email said my Student Prime has been cancelled!! What is going on?!?,Returns & Refunds,NO,,Prime Membership & Benefits,NO,
2269130,@AmazonHelp Other than the dispatch confirmation and delivery which had mysteriously changed - no,Order & Delivery,NO,,Order & Delivery,NO,
1856105,@AmazonHelp just had chat with a representative and got assured delivery by 5 pm today. Lets see what happens....,Order & Delivery,NO,,Order & Delivery,NO,
550615,@AmazonHelp I need to delete and repost this tweet. It’s not Prime. Ships from and sold by VESNIBA.,Prime Membership & Benefits,NO,,Order & Delivery,NO,
311030,"@AmazonHelp No, I'm located in Tacoma Washington.  @115821 blocks the people using VPN on Prime Video. They asked me to disable it. Echo blocked too? https://t.co/Vq8omczO1J",Account & Security,NO,,Account & Security,NO,
812093,"@AmazonHelp USPS. Luckily, the item wasn't permanently damaged, just rather soggy.",Product Problems,NO,,Order & Delivery,NO,
980695,Just finished S1 of Lakhon mein ek.. good job @12154 @119625. When's the next season streaming ? Need more of bakri &amp; Chudail :P,Prime Video / Streaming,NO,,Prime Video / Streaming,NO,
729203,"@AmazonHelp So i asked for a refund and they said ok that should be it sorted within 4-5 days, but i have no email from amazon",Returns & Refunds,NO,,Order & Delivery,YES,unresolved or repeated issue
470159,"@AmazonHelp i already filed complain but your representatives just ignoring the act and assuring me that i get my money back in my AMAZON PAY
but i cleary told them that i take money in my bank account as i dont want to purchase anything from you without my desire..dont trap ur customers",Returns & Refunds,NO,,Order & Delivery,YES,unresolved or repeated issue
1343556,"Haha, I bought something from a 3rd-party seller on @115821. They had @walmart ship the wrong item to me and marked it up 43%.",Product Problems,NO,,Product Problems,NO,
239647,"@AmazonHelp Your number has been blocked from receiving calls from our Call Me service.
Is this the way you help?",Account & Security,NO,,App / Device / Technical,NO,
327995,@AmazonHelp I can't receive emails because someone went into my account and changed the email that controls it,Account & Security,NO,,Account & Security,YES,unauthorized access to account
426370,@115821 I ordered one black caprese sling bag for my friend...Today she received some used blue colour caprese bag...Highly disappointed https://t.co/Jg667e8eCG,App / Device / Technical,NO,,Product Problems,NO,
2734294,"@AmazonHelp thanks, but i tried this page before, because its a cancelled order it wont show up in this page. so im unsure as to what to do :( should i just contact the bank and get them to block the payment?",Payment & Amazon Pay,NO,,Payment & Amazon Pay,YES,unresolved or repeated issue
2867083,another lost package with @116090 - lovely.,Order & Delivery,NO,,Product Problems,YES,package is lost
1501743,@115821  quando vão colocar o video direct no Brasil?,Prime Video / Streaming,NO,,Prime Video / Streaming,NO,
1533733,"@AmazonHelp is Amazon Music down or something? The app opens, but nothing works. Even stuff I have downloaded doesn't work. Tried a restart.",App / Device / Technical,NO,,App / Device / Technical,NO,
21447,@115850 i want to cancel my order but there is no option of cancellation Help I have made e-payment by debit card,Payment & Amazon Pay,NO,,Account & Security,NO,
2184587,"I'm breaking up with amazon for a week. They're delivery has been the worst and customer service, even worse.",Order & Delivery,NO,,Order & Delivery,NO,
1020920,@AmazonHelp Does leaving feedback give me money back?,Returns & Refunds,NO,,Returns & Refunds,NO,
671655,@AmazonHelp I don't have an Amazon account with that email address. But it is an address with 2 step verification that has not been hacked.  Why would someone be able to set up an Amazon account with an email account that has not been verified thru Amazon?  Sounds like Amazon security prob.,Account & Security,NO,,Account & Security,YES,unauthorized access to account
1229659,@119625 When you are going to add Malayalam movies ??,Prime Video / Streaming,NO,,Prime Video / Streaming,NO,
764782,@AmazonHelp got my sister a gift and it's the wrong item I order now what,Product Problems,NO,,Order & Delivery,NO,
641839,I love specifically staying at home ALL day waiting for a package from @115830 JUST to have the driver not even ring my doorbell and instead drive off saying he 'failed to deliver' it. What a fucking joke.,Order & Delivery,NO,,Order & Delivery,NO,
1680526,@115850 received mouse and keyboard combo during uor sell but mouse is not working and no replace option only return. don't want to return,Returns & Refunds,NO,,Product Problems,NO,
1446339,It annoys me that @115940 sound doesn’t match the video on my @116439,Prime Video / Streaming,NO,,Product Problems,NO,
103848,"@AmazonHelp C'est étrange car au début c'est écrit :
""Nous sommes ravis de vous rappeler que vous bénéficiez de Prime Vidéo grâce à votre abonnement Amazon Prime ..""",Prime Membership & Benefits,NO,,Prime Membership & Benefits,NO,
2935128,@AmazonHelp I️ have a return label it’s in a massive huge box WHERE do I️ drop it off ??,Returns & Refunds,NO,,Order & Delivery,NO,
2435682,@AmazonHelp I spoke to someone on the phone they said they will credit my account but nothing has happened.,Account & Security,NO,,Payment & Amazon Pay,YES,unresolved or repeated issue
833654,"@115850 I just bought goods and one is damaged. Calling their call centre number but am not being received...
Extremely frustrating",Product Problems,NO,,Product Problems,YES,unresolved or repeated issue
320599,@115851 unlock my Amazon account! Over 24 hours can't get a response from amazon.,Account & Security,NO,,Account & Security,NO,
1118642,@115821 @118919 @1840 @AmazonHelp I have order oneplus5 almost 150 days back yet to receive my cashback after all the fake promise,Product Problems,YES,Potential counterfeit product,Returns & Refunds,NO,
2688782,@AmazonHelp Where? How? What option do I chose? I see nothing about individual seller accounts?,Account & Security,NO,,Account & Security,NO,
1268837,"@AmazonHelp @115851 @AmazonHelp why to use prepaid method ??
why ??
u will not provide cod facility same we will not place any order from Amazon",Payment & Amazon Pay,NO,,Payment & Amazon Pay,YES,unresolved or repeated issue
487658,So @115821 or @115817 has no issues leaving a $900 package by my door but requests that I reschedule a delivery of a $20 shipment because I wasn’t home?!  #whatthewhat,Order & Delivery,NO,,Order & Delivery,NO,
1254567,Bonjour @120533 pourquoi payer l’option Prime et demander à se faire livrer en soirée si c’est pour être livré 2 jours plus tard ? 🤔🤔,Payment & Amazon Pay,NO,,Order & Delivery,NO,
238143,@AmazonHelp I did it several times. And refreshed. I got a pop box saying that subtitles are available for this video.,Prime Video / Streaming,NO,,Prime Video / Streaming,NO,
1726329,@AmazonHelp I had made the payment in advance against the order 407-2602912-8773954 .Please provide me replacement if product is lost by you,Payment & Amazon Pay,NO,,Order & Delivery,NO,
2166592,@115850 will my this issue get resolved or not as I'm trying to use the feature know as contact us in your application but my call is getting disconnected https://t.co/wImC3PT45I,App / Device / Technical,NO,,Order & Delivery,YES,unresolved or repeated issue
69776,"@AmazonHelp I can't replace the order as it was the nintendo switch bundle cyber monday deal so it was a different price than usual, I have access to my account though",Account & Security,NO,,Returns & Refunds,NO,
2636805,wie kann man denn bitte den eurosport player schauen? beim anwählen landet man wieder auf dem home-screen? @115825 #fail #refund,Returns & Refunds,NO,,Prime Video / Streaming,NO,
421568,"@AmazonHelp It is cheating customers!, prime or whatever!.",Prime Membership & Benefits,NO,,Prime Membership & Benefits,NO,
1404752,@AmazonHelp Just spoke someone. Getting a refund in the form of an Amazon voucher. Told me my order has been lost? If I re order this item and the other one turns up will I be charged twice? I feel like I've been majorly let down by Amazon here,Returns & Refunds,NO,,Returns & Refunds,YES,unresolved or repeated issue
1760492,Amazon customer Service is awful! $ a defective paper shredder - threw out box- can’t get help - no humans to speak to. @AmazonHelp @115821,Product Problems,NO,,Order & Delivery,YES,requesting human assistance
2273384,@AmazonHelp I have a charge on my bank account from Amazon but have no idea what it is for. Could you help me out,Payment & Amazon Pay,NO,,Payment & Amazon Pay,YES,unauthorized money deduction
1461568,@119625 no new episode released since 17-Oct-17 @41845 season 2. What's going on?,Prime Video / Streaming,NO,,Prime Video / Streaming,NO,
236193,@AmazonHelp This video is currently unavailable to watch in your location https://t.co/NGnUaLB0Jr,Prime Video / Streaming,NO,,Prime Video / Streaming,NO,
467505,@AmazonHelp Is it a joke???  Even after 3 weeks Amazon can't repay my amount that also after so many promises by @115850 @AmazonHelp,Payment & Amazon Pay,NO,,Returns & Refunds,YES,unresolved or repeated issue
2395802,@AmazonHelp You guys are processing the refund for less than what I actually paid for it,Returns & Refunds,NO,,Returns & Refunds,YES,refund for less than what customer actually paid for it
1986971,Amazon videoアプリ不具合があるって聞いたけど治ったんかな,Prime Video / Streaming,NO,,Prime Video / Streaming,NO,
2529243,@116618 You can't offer me to buy a whole season of a TV show then 7 episodes in say it's not available in my region anymore,Prime Video / Streaming,NO,,Prime Video / Streaming,NO,
1578511,@115850 tracking still shows arriving at 11 am and it's already 12 pm! Why do you charge more for delivering late? https://t.co/rA3ZXkvqQi,Order & Delivery,NO,,Order & Delivery,NO,
1681787,@AmazonHelp @115850 mentioned in the mail like I'll get back my money today(NOV 7) to my account but again U guys proved very worst service @115850,Account & Security,NO,,Account & Security,YES,unresolved or repeated issue
91325,"@AmazonHelp 10% cashback on debit card payment while COD , i did two times got nothing yet",Payment & Amazon Pay,NO,,Payment & Amazon Pay,YES,no cashback even with eligible criteria
2636897,"@AmazonHelp I received a $15 promotional credit for purchasing gift cards, but I cannot figure out how to apply it. I received an email confirming this, but when I click the link to learn more about it, I am directed to the below screen. Can I get some help with this? https://t.co/rtSc1TCml3",App / Device / Technical,NO,,Payment & Amazon Pay,YES,requesting human assistance
2976598,"Rest assured I'd delete your apps @115850 @1143 if you insist on this. As for @22108 never used, won't use #Aadhaar https://t.co/xSzlDa74wP",App / Device / Technical,NO,,Order & Delivery,NO,
2835607,"@115821 I keep getting messages from https://t.co/Acelz3ws3x with a code, different each time, headed “Amazon password assistance.” I didn’t ask for a new code. Are these emails legit?",Account & Security,NO,,Account & Security,YES,unauthorized access to account
297296,"@AmazonHelp Reiterating again-""There has been NO emails from Social Media team for LAST 28 DAYS"" @115821 @115850 Please STOP posting fake tweets again",Product Problems,YES,Potential counterfeit product,Account & Security,NO,
268138,@116618 please figure it out. I’m not paying for prime to have problems occur at the worst possible time... The @174356 are on!,Payment & Amazon Pay,NO,,Prime Membership & Benefits,NO,
114405,@AmazonHelp Going through the app but it diverts to the browser same as it always has.,App / Device / Technical,NO,,App / Device / Technical,NO,
2347834,@AmazonHelp That isn't the answer to my question. The episode is already released when is it going to be available on Amazon prime?,Prime Membership & Benefits,NO,,Prime Video / Streaming,NO,
2552275,"@AmazonHelp Your email replies apologize &amp; say will deliver asap Standard, parroted replies. Last 4 experiences,can only conclude Amazon Prime is a sham",Order & Delivery,NO,,Prime Video / Streaming,NO,
1667761,@AmazonHelp That just takes me to the return request page. I would like it collected for free or full postage to be refunded...,Returns & Refunds,NO,,Returns & Refunds,NO,
2431091,"@AmazonHelp Und Episode 14 ""Auf den Hund gekommen"" handelt von den neuen Nachbarn, die einen Hund haben, der ständig bellt.",Prime Video / Streaming,NO,,Prime Video / Streaming,NO,
2694998,@AmazonHelp I've tried this but when I go to payment the only option is monthly,Payment & Amazon Pay,NO,,Payment & Amazon Pay,NO,
1134073,@AmazonHelp yeah I did - the item has just been delivered and it's caused some issues as it's late,Order & Delivery,NO,,Order & Delivery,NO,
2945526,"@AmazonHelp  why is it such a nightmare finding someone to help with amazon? Have followed all instructions to delete items off kindle and ""permanently delete button is greyed out"". #humanplease .thanks",App / Device / Technical,NO,,Order & Delivery,YES,requesting human assistance unresolved or repeated issue
1339669,@77774 @115850 @115821 Never expected Amazon to market a Counterfeit product in India.  https://t.co/WjKuf4hWks https://t.co/7UoDrL7Hde,Product Problems,YES,Potential counterfeit product,Product Problems,NO,
1004539,@AmazonHelp J’ai testé de supprimer et re-install l’app =&gt; j’arrive a me co !!!,Order & Delivery,NO,,App / Device / Technical,NO,
1724783,@115830 you've sent me a battery charger without the batteries it was mean to have but I don't know how to contact you to address this?,Payment & Amazon Pay,NO,,Product Problems,YES,
2965294,Um where’s episode 9 of #Lucifer @116618,Prime Video / Streaming,NO,,Prime Video / Streaming,NO,
2862071,@AmazonHelp would like to know where my parcel is ! After telling me it would be delivered before 9pm then stating it would be delivered tomorrow you apparently delivered at 10.11pm and so where it is please !! https://t.co/gtw1iC0voR,Order & Delivery,NO,,Order & Delivery,NO,
493443,@AmazonHelp is that cashback on paying thuru amazon balance still going on?,Payment & Amazon Pay,NO,,Payment & Amazon Pay,NO,
1100419,"@115850 @115850  very disappointed with my recent purchase
damaged product
no resolution provided by global seller
wasted rs.1569
hate it
pls help
pls REFUND ASAP
A-Z GUARANTEE",Returns & Refunds,NO,,Returns & Refunds,YES,requesting human assistance
1325537,"@115830 I could just go to Tesco and buy it right now and send you yours back and get a refund. I pay for day of release, not afternoon",Returns & Refunds,NO,,Order & Delivery,NO,
128791,"@119625 Is it true that PAV Garudavega movie is coming up in @119625. If yes, may I know when.",Prime Video / Streaming,NO,,Prime Video / Streaming,NO,
1149639,@115851 @115821 @AmazonHelp i want to return a sandisk pendrive bought from amazon.in.I regret buying from amazon &amp; not flipkart.,Returns & Refunds,NO,,Returns & Refunds,NO,
2680326,"@AmazonHelp Me: Alexa, what's up?

Echo: Today, blah, blah, blah....

5 mins later...

Echo: The weight of the Earth is .....

Uh, ok. Thanks. ¯\_(ツ)_/¯",Order & Delivery,NO,,App / Device / Technical,NO,
994297,When are you releasing NEWTON movie on prime @119625,Prime Membership & Benefits,NO,,Prime Video / Streaming,NO,
2269086,@AmazonHelp When will you upload movie,Prime Video / Streaming,NO,,Prime Video / Streaming,NO,
2212266,"@115850 My order ID is 
406-7431393-6585960 tried to cancel this order on 11th Oct.  Neither got a refund nor any updates regarding the status",Returns & Refunds,NO,,Returns & Refunds,YES,unresolved or repeated issue
238948,@AmazonHelp @115821 I don't see a solution I have shared evidences of aukey is saying its #fake product.Still you are saying we don't understand problem,Product Problems,YES,Potential counterfeit product,Product Problems,YES,unresolved or repeated issue
2899502,"I honestly don’t care if an Amazon package is late, I just care that the tracking says ‘it was handed to the resident’ or ‘left with a a neighbour’ when it obviously wasn’t. This has never happened before in 18 years of using Amazon.",Order & Delivery,NO,,Order & Delivery,NO,
666181,E ai @117086 esse ano vai ter promoção para os Kindle na Black Friday ? Tô louco pra comprar meu paperwhite...,App / Device / Technical,NO,,Product Problems,NO,
1603291,@115850 I purchased one guitar order no 404-0916523-0401168 the product is defective as they have placed two same strings in the guitar,Product Problems,NO,,Product Problems,NO,
279662,"@116316 Moin, leider wieder passiert: Prime Zusage der Lieferung bis zum 05.10.. Reale Lieferung erst heute am 06.10. Und nun? #Geburtstag",Prime Membership & Benefits,NO,,Order & Delivery,YES,unresolved or repeated issue
2406950,@119625  not able to stream any video.. is there any issue??,Prime Video / Streaming,NO,,Prime Video / Streaming,NO,
2634799,Für was zahl ich #AmazonPrime wenn Pakete nicht am genannten Lieferdatum ausgeliefert werden? Danke für nichts @116316 @1713,Prime Membership & Benefits,NO,,Order & Delivery,NO,
2702054,@115821 a little bit of a warning would be nice before you charge me for another year of prime membership plz ! Just a email would do !,Payment & Amazon Pay,NO,,Payment & Amazon Pay,YES,unauthorized money deduction
2558564,@115821 ...im so disappointed with your customer service &amp; 3rd party sellers. Damaged goods &amp; no satisfactory resolution.,Product Problems,NO,,Product Problems,YES,unresolved or repeated issue
1544982,"I've been unknowingly paying for a 15 dollar a month Audible subcription for the past 6 months, HOW IS THIS LEGAL, WTF @115821 @1016",Payment & Amazon Pay,NO,,Payment & Amazon Pay,YES,unauthorized money deduction
678270,Note to self: do not online shop at this hour. Accidentally clicked something on Amazon Prime and I was charged $107 🤦🏻‍♀️,Payment & Amazon Pay,NO,,Payment & Amazon Pay,YES,unauthorized money deduction
722514,"@116618 i rented a movie with perfect wifi, and it wont even play past 3 secs. Not super mad at you i just wanna watch Barry Lyndon :/",Prime Video / Streaming,NO,,App / Device / Technical,NO,
229825,"@115850 There is a fault from your side,Your courier person not communicating the reality. If my order got lost or damaged in courier 2\n",Product Problems,NO,,Order & Delivery,NO,
2551052,"@AmazonHelp Received damaged LP, wish to exchange for another copy - but website will only allow me to exchange for ANOTHER item? How does that work? I wasnt to receive the item I ordered in new condition!",Product Problems,NO,,App / Device / Technical,NO,
2922609,"@AmazonHelp I ordered numerous items totaling around $140, after doing so the other two cards linked to my account were charged an extra $250 and $400. I’ve been on the phone off and on with your customer service and can not get any answers.",Payment & Amazon Pay,NO,,Account & Security,YES,unresolved or repeated issue
895111,@115830 You tried but failed to deliver parcel today? Can’t have tried v hard as I’ve been in ALL DAY thanks to post-surgical bed rest!,Order & Delivery,NO,,Order & Delivery,NO,
1478825,"WTF @115821 this is the 3rd time this week! 😤 @115851 what's going on with your quality control?  Seriously, this is disappointing! https://t.co/QRnSsXZvTR",App / Device / Technical,NO,,Product Problems,NO,
2515831,@AmazonHelp I need to talk to someone about getting a refund. I ordered 3 2-packs of these bells and within one shake of them the bells have broken off! Horrible quality! https://t.co/fRAfTSzA1T,Returns & Refunds,NO,,Returns & Refunds,YES,requesting human assistance
2910400,"@AmazonHelp Of course! Every time! This time the order was cancelled without reason, the customer service can't do nothing and the money are blocked by the bank. Now I'm really tired. We are really far from the quality of the past years.",Account & Security,NO,,Order & Delivery,YES,requesting human assistance
718351,"@AmazonHelp I was looking at the deals page and clicked on an item. Once I saw I liked it, I clicked the one-click order button. Then saw I was charged $20 more than the page said. I went back to the page and took a screen shot of correct price ($20 less than I was charged). 50 mins on chat.",Payment & Amazon Pay,NO,,Payment & Amazon Pay,YES,Incorrect charge and unresolved support attempt
420098,@115850 @132994 @120692 its been 5 months since I had ordered 1+ &amp; still got no cashback as per offer provided...fake offers??,Product Problems,YES,Potential counterfeit product,Order & Delivery,NO,
1772279,@AmazonHelp I'm not doing any extra work I don't get paid for. Y'all cost me enough.,Payment & Amazon Pay,NO,,Order & Delivery,NO,
86259,"@115821 If I was desperate enough, in theory, I could fake my account location to US, but then, incidentally, that process is broken and throws an error.",Account & Security,YES,Potential counterfeit product,Account & Security,NO,
1659298,"@AmazonHelp Ordered a phone twice, never got it saying it was damaged in transit What a joke? Worst Service in India ever. @115851",Product Problems,NO,,Order & Delivery,NO,
1404766,".@AmazonHelp
.@115850
Haven't received the cashback for last 2 Amazon pay top ups though I was eligible. My email id is __email__.",Payment & Amazon Pay,NO,,Account & Security,NO,
1547231,dude @117795 wtf?? i want my money back!!! https://t.co/jscA6m7M5X,Returns & Refunds,NO,,Returns & Refunds,NO,
2171037,"@115821 your customer service has been less than ideal today. I have a missing package meant as a birthday present that was supposed to be delivered two days ago. I am very dissatisfied, and I had high hopes for this company.",Order & Delivery,NO,,Order & Delivery,YES,unresolved or repeated issue
2761266,"@AmazonHelp Okay, every time I play a new video, a message pops at the right-bottom. https://t.co/BWsaEQaSXr",Prime Video / Streaming,NO,,App / Device / Technical,NO,
1386491,"@120533 Bonjour, aucune nouvelle d’une commande prime devant être reçu ce jour avant 20h, que faire ?",Prime Membership & Benefits,NO,,Order & Delivery,NO,
2488517,"@AmazonHelp The only solution as per the supervisor was to cancel the order and refund my money, that's after me calling twice and spending my time",Returns & Refunds,NO,,Returns & Refunds,NO,
2553952,@AmazonHelp No place was set as I have been in all day. I knew it was arriving. I have just gone to the door and it was left on my mat. Not Happy!,App / Device / Technical,NO,,Order & Delivery,NO,
522473,@AmazonHelp how do i know which apps are legal to use? is it ok to allow 'apps from unknown sources'?,App / Device / Technical,NO,,Account & Security,NO,
12505,@AmazonHelp How do I disable notifications indicated by the bell icon in upper left corner of iOS Kindle app?,App / Device / Technical,NO,,App / Device / Technical,NO,
311499,"@AmazonHelp Worst service, u made me to wait to for 20days after paying for my order,  I didn't get machine  and now my money also, Is this how u work",Payment & Amazon Pay,NO,,Order & Delivery,NO,
1357233,@117634 Please help? My new Kindle won’t let me register my Amazon account and shows this error message... #whattodo #needtorread https://t.co/HA1B1LoDoa,Account & Security,NO,,Account & Security,NO,
330923,"@AmazonHelp @115850  I want to buy ""
Adiko High Back Office Chair (Cream) by Adiko""  but when I proceed for payment .",Payment & Amazon Pay,NO,,Order & Delivery,NO,
965753,Nobody lies to me more than @115821 when they have a guaranteed delivery date.,Order & Delivery,NO,,Order & Delivery,NO,
2346307,"@AmazonHelp Bonjour, des news pour une arrivée de chromecast sur amazon Video ?",Prime Video / Streaming,NO,,Prime Video / Streaming,NO,
450842,fuck Amazon. I didn't sign up for Prime and now my accounts overdrawn. kill me please.,Account & Security,NO,,Account & Security,NO,
2902484,@AmazonHelp what do I need to do to disable 2-step verification on my account which i am locked out of? I've called customer support several times over the last couple months and have initiated the 2-step verification account recovery. Nothing else has been done to resolve this.,Account & Security,NO,,Account & Security,YES,unresolved or repeated issue
2254548,@116935 ur Android app on Galaxys7 has a defect when engaging a call and listening to ur music. The call engages and amazon music keeps playing while on a stereo bt headset. Pls confirm u have captured this big.,App / Device / Technical,NO,,Product Problems,NO,
1373666,Gee it’s been 18 hours that I could have been playing Mario odyssey but @115821 pre orders are a joke apparently 🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄,App / Device / Technical,NO,,Order & Delivery,NO,
451897,"@115830 outraged at Amazon taking £189 out of my account because a seller told them my order had been despatched, and they knew full well the goods weren't even in stock. Do your checks in future, I'm out of pocket and a child may not get her Christmas present 😠",Account & Security,NO,,Payment & Amazon Pay,NO,
1134981,@AmazonHelp There has been two different stories from the driver who was meant to deliver it,Order & Delivery,NO,,Order & Delivery,NO,
1199052,@AmazonHelp The order is not yet returned. It's showing returning back to selller. If you can help so that they can deliver it on address.,Order & Delivery,NO,,Returns & Refunds,YES,unresolved or repeated issue
297900,@AmazonHelp I think prime is not beneficial at my location so can i withdraw this service ?,Prime Membership & Benefits,NO,,Prime Membership & Benefits,NO,
2616340,"@AmazonHelp It didn’t look damaged and I’m sure I used the correct code. This was last month and life has been busy so I’ve only just got round to contacting you, sorry 😟",Product Problems,NO,,Payment & Amazon Pay,NO,
2454484,@AmazonHelp y’all niggas taking mad long for my refund b,Returns & Refunds,NO,,Returns & Refunds,NO,
1450842,Hey @AmazonHelp my pckg status said delivered yesterday by @123967 but I didn't receive it. I did however get my other @115821 pckg. Help.,Order & Delivery,NO,,Order & Delivery,NO,
536537,"@AmazonHelp My order is the top item, clearly marked as “PRIME”, small print on order states 2-11Dec. This is no good as I need item to complete job. Your system will not let me cancel and buy from another seller 😡 https://t.co/bcn0RVAw37",Prime Membership & Benefits,NO,,Prime Membership & Benefits,YES,delayed delivery for prime member
1144917,Happy Diwali @115850,App / Device / Technical,NO,,Order & Delivery,NO,
808138,"@AmazonHelp My product of iBall MJ BT9 speaker  not  returned, 1 week over. Service boy called 6 days back but didnt trun up now. 8105209702",Returns & Refunds,NO,,Returns & Refunds,YES,unresolved or repeated issue
1426767,@115821 @AmazonHelp @115851 @115850 its more that 4 days but not any actions are taken till now i have already snapshots pics of fake https://t.co/DLZXmhfAkm,Product Problems,YES,Potential counterfeit product,Order & Delivery,YES,unresolved or repeated issue
